"","business_id","city","review_count","name","longitude","state","stars","latitude","type"
"1","vcNAWiLM4dR7D2nwwJ7nCA","Phoenix",7,"Eric Goldberg, MD",-111.983758,"AZ",3.5,33.499313,"business"
"331","x5Mv61CnZLohZWxfCVCPTQ","Phoenix",12,"Domino's Pizza",-112.0734183,"AZ",2.5,33.4795416,"business"
"332","2ZnCITVa0abGce4gZ6RhIw","Phoenix",5,"Viad Tower Restaurants",-112.074315,"AZ",3.5,33.468988,"business"
"333","EmzaQR5hQlF0WIl24NxAZA","Phoenix",20,"Sky Lounge",-112.0717019,"AZ",2.5,33.4483992,"business"
"334","SiwN7f0N4bs4ZtPc4yPgiA","Phoenix",15,"Palazzo",-112.074225,"AZ",2.5,33.456068,"business"
"335","M-MFa0YErVBbFW2IJhGJmw","Phoenix",28,"Virginia Auto Service",-112.0658058,"AZ",4,33.4767839,"business"
"336","KPoTixdjoJxSqRSEApSAGg","Phoenix",281,"Wild Thaiger",-112.07352364174,"AZ",4,33.477933965703,"business"
"337","OtDcALEX6-LfEOQE0QgHYw","Chandler",12,"V's Barbershop",-111.97048,"AZ",4,33.319011,"business"
"338","werWnE_3k8GYVaMuUcWw4g","Phoenix",5,"Central Park Square Athletic Club",-112.074821472168,"AZ",4.5,33.4702415466309,"business"
"339","1acmBPmmFDovVSHHzMrJ9A","Phoenix",11,"Central Phoenix OB/Gyn",-112.06982,"AZ",2.5,33.47081,"business"
"340","cBH0kCvvUjQ9DBaAMUDSMw","Phoenix",4,"Renaissance Fine Jewelry",-112.07455859259,"AZ",4,33.4492572677437,"business"
"341","fpL1qcZ6qbWzC79WU0E-Ug","Phoenix",10,"Best Western Central Phoenix Inn",-112.074326,"AZ",3,33.46084,"business"
"342","7Z7IkR_-94AjUuDw0fbI7g","Phoenix",52,"Safeway",-112.0674695,"AZ",2.5,33.4657106,"business"
"343","e5kc0CQ4R-PCCDgb274gSg","Phoenix",176,"Canyon Cafe",-112.0691194,"AZ",3.5,33.4526031,"business"
"344","gBcpDl0quCLABsg5OuSFww","Phoenix",11,"Teeter House Tea Room",-112.0656645,"AZ",3,33.4495394,"business"
"345","icFE83PXkjKBma3azYqanw","Phoenix",4,"Phoenix Produce Company",-112.0737871,"AZ",5,33.4424729,"business"
